account,amount,timestamp
Kelly,69.96,5/10/2019
Gawen,5.67,5/14/2019
Wilburt,4.7,5/2/2019
Carlo,85.96,8/3/2019
Tiler,25.72,9/16/2019
Peggi,78.33,5/12/2019
Jobie,26.63,10/23/2019
Sinclair,74.5,5/3/2019
Joyous,54.08,10/10/2019
Cletus,37.36,7/26/2019
Riki,48.18,3/18/2019
Renae,46.05,9/5/2019
Julianna,69.26,6/14/2019
Dulcia,21.32,7/6/2019
Heath,94.35,5/7/2019
Dael,80.94,9/29/2019
Cathrin,8.23,7/25/2019
Addie,19.34,1/8/2019
Dillon,5.23,2/11/2019
Modesta,12.7,3/7/2019
Jourdain,8.88,6/6/2019
Chere,19.86,4/12/2019
Bartolomeo,90.61,2/3/2019
Werner,58.55,8/14/2019
Roch,37.7,6/9/2019
Tuckie,17.73,8/28/2019
Catie,9.24,1/1/2020
Kellia,50.44,1/10/2019
Boycie,62.76,5/25/2019
Alwin,56.26,6/13/2019
Carissa,99.12,12/3/2019
Tracey,22.23,12/14/2019
Petey,54.43,11/26/2019
Clare,42.11,3/4/2019
Amandie,25.46,2/16/2019
Corri,11.94,8/28/2019
Abramo,97.17,5/8/2019
Tiffany,3.34,10/29/2019
Debbie,54.86,11/25/2019
Denna,71.09,10/6/2019
Valene,89.45,5/9/2019
Moselle,15.52,8/9/2019
Timmie,83.59,4/4/2019
Maegan,94.89,12/15/2019
Eli,47.96,11/22/2019
Cookie,96.7,2/4/2019
Marleen,76.82,1/28/2019
Carey,21.54,5/28/2019
Crystal,17.66,7/30/2019
Sally,9.24,5/29/2019
Clemmie,12.05,9/25/2019
Ozzie,21,10/30/2019
Rosamund,75.78,7/20/2019
Julianna,8.05,11/15/2019
Raphael,70.73,11/3/2019
Lydon,50.63,12/26/2019
Griselda,66.17,8/27/2019
Malia,72.38,11/28/2019
Reinaldo,8.61,2/10/2019
Faustine,79.74,8/16/2019
Ingrid,92.97,12/23/2019
Daffi,81.21,3/19/2019
Bryon,94.42,2/12/2019
Ki,3.89,4/5/2019
Tades,47.88,9/20/2019
Herold,1.78,11/17/2019
Zacherie,77.57,8/12/2019
Wolfie,95.06,8/15/2019
Emlynn,24.15,11/21/2019
Binny,94.24,11/15/2019
Lari,16.27,11/10/2019
Angie,2.03,2/1/2019
Devlin,46.65,8/22/2019
Sawyere,1.86,11/5/2019
Merrel,81.34,12/27/2019
Bonnibelle,99.36,4/17/2019
Gennifer,12.27,12/6/2019
Carling,47.96,5/3/2019
Annnora,35.58,9/3/2019
Matthew,90.44,9/3/2019
Angil,75.11,9/29/2019
Raffaello,97.38,11/17/2019
Sheilah,59.02,6/1/2019
Corey,16.19,1/3/2020
Nissa,12.44,9/19/2019
Shena,37.22,4/23/2019
Ky,63.6,3/31/2019
Fiann,48.2,1/9/2019
Mar,59.73,2/13/2019
Ninon,36.65,10/28/2019
Ola,57.97,9/11/2019
Aguie,33.82,1/18/2019
Shantee,28.86,12/14/2019
Dorian,1.15,6/19/2019
Noll,4.07,9/10/2019
Agna,76.24,3/4/2019
Raddie,35.41,3/23/2019
Welsh,70.42,11/19/2019
Leighton,64.98,8/30/2019
Lila,55.24,11/28/2019
Mariellen,17.21,12/12/2019
Emelyne,24.97,5/1/2019
Demetris,73.24,11/26/2019
Gabriele,15.17,8/2/2019
Remington,93.01,8/19/2019
Prisca,57.14,12/12/2019
Naoma,82.55,6/26/2019
Turner,20.24,2/18/2019
Blinni,82.48,9/6/2019
Kipp,51.29,2/14/2019
Kit,2.14,5/26/2019
Sissy,47.06,3/9/2019
Walton,33.17,3/30/2019
Zechariah,32.73,7/28/2019
Prinz,37.2,8/10/2019
Roxi,94.8,4/18/2019
Gareth,55.13,8/16/2019
Alvinia,7.41,2/20/2019
Griswold,85.5,10/15/2019
Luelle,42.97,1/24/2019
Fidelia,6.27,2/9/2019
